bookId|title|author|publishYear|genre|available
B0001|Pride and Prejudice|Austen, Jane|1813|Romance|true
B0002|The Yellow Wallpaper|Gilman, Charlotte Perkins|1892|Horror|true
B0003|Alice's Adventures in Wonderland|Carroll, Lewis|1865|Fantasy|true
B0004|Frankenstein; Or, The Modern Prometheus|Shelley, Mary Wollstonecraft|1818|Science Fiction|true
B0005|Metamorphosis|Kafka, Franz|1915|Horror|true
B0006|Adventures of Huckleberry Finn|Twain, Mark|1884|Historical Fiction|true
B0007|The Importance of Being Earnest: A Trivial Comedy for Serious People|Wilde, Oscar|1895|Romance|true
B0008|The Adventures of Tom Sawyer|Twain, Mark|1876|Historical Fiction|true
B0009|Narrative of the Life of Frederick Douglass, an American Slave|Douglass, Frederick|1845|History|true
B0010|A Doll's House : a play|Ibsen, Henrik|1879|Fiction|true
B0011|Moby Dick; Or, The Whale|Melville, Herman|1851|Historical Fiction|true
B0012|The Adventures of Sherlock Holmes|Doyle, Arthur Conan|1892|Mystery|true
B0013|Great Expectations|Dickens, Charles|1860|Historical Fiction|true
B0014|Ulysses|Joyce, James|1922|Fiction|true
B0015|A Tale of Two Cities|Dickens, Charles|1859|Historical Fiction|true
B0016|A Modest Proposal: For preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick|Swift, Jonathan|1729|Philosophy|true
B0017|Dracula|Stoker, Bram|1897|Horror|true
B0018|The Prince|Machiavelli, Niccolo|1513|History|true
B0019|The Picture of Dorian Gray|Wilde, Oscar|1891|Horror|true
B0020|War and Peace|Tolstoy, Leo, graf|1869|Historical Fiction|true
B0021|Grimms' Fairy Tales|Grimm, Wilhelm|1812|Fantasy|true
B0022|The Kama Sutra of Vatsyayana: Translated From the Sanscrit in Seven Parts With Preface, Introduction and Concluding Remarks|Vatsyayana|300|Philosophy|true
B0023|Emma|Austen, Jane|1815|Romance|true
B0024|Beowulf: An Anglo-Saxon Epic Poem|Unknown|975|Fantasy|true
B0025|Les Misérables|Hugo, Victor|1862|Romance|true
B0026|The Romance of Lust: A Classic Victorian erotic novel|Anonymous|1873|Romance|true
B0027|Jane Eyre: An Autobiography|Bronte, Charlotte|1847|Romance|true
B0028|Leaves of Grass|Whitman, Walt|1855|Philosophy|true
B0029|Dubliners|Joyce, James|1914|Historical Fiction|true
B0030|Sense and Sensibility|Austen, Jane|1811|Historical Fiction|true
B0031|Leviathan|Hobbes, Thomas|1651|History|true
B0032|The Strange Case of Dr. Jekyll and Mr. Hyde|Stevenson, Robert Louis|1886|Science Fiction|true
B0033|Treasure Island|Stevenson, Robert Louis|1882|Fantasy|true
B0034|Wuthering Heights|Bronte, Emily|1847|Romance|true
B0035|Heart of Darkness|Conrad, Joseph|1899|Historical Fiction|true
B0036|The Count of Monte Cristo, Illustrated|Dumas, Alexandre|1844|Romance|true
B0037|Gulliver's Travels into Several Remote Nations of the World|Swift, Jonathan|1726|Fantasy|true
B0038|The Awakening, and Selected Short Stories|Chopin, Kate|1899|Romance|true
B0039|Peter Pan|Barrie, J. M. (James Matthew)|1904|Fantasy|true
B0040|Siddhartha|Hesse, Hermann|1922|Historical Fiction|true
B0041|The Republic|Plato|-380|Philosophy|true
B0042|Autobiography of Benjamin Franklin|Franklin, Benjamin|1791|History|true
B0043|The Life and Adventures of Robinson Crusoe|Defoe, Daniel|1719|Historical Fiction|true
B0044|Songs of Innocence, and Songs of Experience|Blake, William|1789|Poetry|true
B0045|Essays of Michel de Montaigne — Complete|Montaigne, Michel de|1580|Philosophy|true
B0046|The Divine Comedy by Dante, Illustrated|Dante Alighieri|1308|Fantasy|true
B0047|A Christmas Carol in Prose; Being a Ghost Story of Christmas|Dickens, Charles|1843|Fantasy|true
B0048|A Study in Scarlet|Doyle, Arthur Conan|1887|Mystery|true
B0049|The Jungle Book|Kipling, Rudyard|1894|Fantasy|true
B0050|Crime and Punishment|Dostoyevsky, Fyodor|1866|Mystery|true
B0051|The Iliad|Homer|-750|Epic Poetry|true
B0052|Beyond Good and Evil|Nietzsche, Friedrich Wilhelm|1886|History|true
B0053|Candide|Voltaire|1759|Philosophy|true
B0054|Steam, Its Generation and Use|Babcock & Wilcox Company|2007|General Literature|true
B0055|Pygmalion|Shaw, Bernard|1912|Romance|true
B0056|The Complete Works of William Shakespeare|Shakespeare, William|1623|Historical Fiction|true
B0057|Oliver Twist|Dickens, Charles|1838|Historical Fiction|true
B0058|Heart of Darkness|Conrad, Joseph|1899|Historical Fiction|true
B0059|English Literature: Its History and Its Significance for the Life of the English-Speaking World|Long, William J. (William Joseph)|2004|History|true
B0060|An Occurrence at Owl Creek Bridge|Bierce, Ambrose|1890|Horror|true
B0061|Second Treatise of Government|Locke, John|1689|History|true
B0062|The King James Version of the Bible|Unknown|2011|Religion|true
B0063|My Secret Life, Volumes I. to III.: 1888 Edition|Anonymous|1888|Biography|true
B0064|The Wonderful Wizard of Oz|Baum, L. Frank (Lyman Frank)|1900|Fantasy|true
B0065|On Liberty|Mill, John Stuart|1859|History|true
B0066|The Hound of the Baskervilles|Doyle, Arthur Conan|1902|Mystery|true
B0067|Three Men in a Boat|Jerome, Jerome K. (Jerome Klapka)|1889|Fiction|true
B0068|Through the Looking-Glass|Carroll, Lewis|1865|Fantasy|true
B0069|The Time Machine|Wells, H. G. (Herbert George)|1895|Science Fiction|true
B0070|The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African: Written By Himself|Equiano, Olaudah|2005|Biography|true
B0071|The Jungle|Sinclair, Upton|1906|Historical Fiction|true
B0072|Josefine Mutzenbacher: oder Die Geschichte einer Wienerischen Dirne von ihr selbst erzählt|Salten, Felix|2010|General Literature|true
